Rpm,Vibration,Temperature,Pressure,Condition,Reason
5898,1366,-7,40,Bad,High Pressure and High Vibration
16026,4780,5,20,Bad,Tyre wearout and Engine Failure
8479,913,50,66,Bad,High pressure
17305,3550,-39,25,Bad,Tyre wearout and Engine Failure
8427,915,109,90,Bad,Tyre Bursting
11745,1712,73,90,Bad,High Pressure and High Vibration
17533,4905,45,55,Bad,High Pressure and High Vibration
19705,378,72,81,Bad,High pressure
4992,4033,46,125,Bad,High Pressure and High Vibration
3727,627,-13,31,Bad,Tyre Bursting
1080,2041,-25,76,Bad,High Pressure and High Vibration
6013,978,95,53,Bad,Tyre Bursting
17507,3328,102,33,Bad,Tyre wearout and Engine Failure
874,1806,-4,83,Bad,High Pressure and High Vibration
7670,3790,106,80,Bad,High Pressure and High Vibration
15099,3349,113,99,Bad,Your tyre is completely in bad condition
16191,3148,63,40,Bad,High Pressure and High Vibration
1340,4460,42,56,Bad,High Pressure and High Vibration
6880,1287,-23,95,Bad,High Pressure and High Vibration
10878,4423,30,34,Bad,Tyre wearout and Engine Failure
8485,4319,72,30,Bad,High vibration
4811,4649,8,122,Bad,High Pressure and High Vibration
19397,2672,-27,57,Bad,High Pressure and High Vibration
9489,1280,51,35,Bad,High vibration
9412,842,121,69,Bad,Tyre Bursting
11729,589,53,107,Bad,High pressure
329,4280,74,69,Bad,High Pressure and High Vibration
3614,4944,50,20,Bad,Low pressure
4104,1529,65,88,Bad,High Pressure and High Vibration
17448,1526,-22,113,Bad,High Pressure and High Vibration
4064,502,97,119,Bad,Tyre Bursting
11585,2139,19,126,Bad,High Pressure and High Vibration
16352,4708,110,69,Bad,Your tyre is completely in bad condition
4488,822,-34,129,Bad,Tyre Bursting
13405,4391,21,84,Bad,High Pressure and High Vibration
15645,1739,-11,90,Bad,High Pressure and High Vibration
5896,3279,45,117,Bad,High Pressure and High Vibration
15198,4729,68,121,Bad,High Pressure and High Vibration
12212,4377,108,60,Bad,Your tyre is completely in bad condition
11383,653,-39,91,Bad,High pressure
1948,1175,6,45,Bad,High Pressure and High Vibration
6831,1427,113,40,Bad,High Pressure and High Vibration
17358,3595,-39,116,Bad,High Pressure and High Vibration
17401,739,42,123,Bad,High pressure
16252,2186,111,100,Bad,Your tyre is completely in bad condition
12434,1913,-40,76,Bad,High Pressure and High Vibration
7097,4820,106,72,Bad,High Pressure and High Vibration
15743,2545,-34,62,Bad,High Pressure and High Vibration
10464,2200,109,107,Bad,Your tyre is completely in bad condition
18873,4566,59,49,Bad,High Pressure and High Vibration
14068,342,25,53,Bad,High pressure
14818,357,105,119,Bad,RPM and Temperature are high
185,424,21,52,Bad,High pressure
12439,2956,7,23,Bad,Tyre wearout and Engine Failure
8255,3878,87,116,Bad,High Pressure and High Vibration
4299,4703,55,123,Bad,High Pressure and High Vibration
8498,375,26,22,Bad,Low pressure
1450,4390,12,33,Bad,Low rpm
18807,4303,3,76,Bad,High Pressure and High Vibration
685,1365,16,120,Bad,High Pressure and High Vibration
4881,467,46,15,Bad,Low pressure
9427,1119,43,66,Bad,High Pressure and High Vibration
11014,3480,31,18,Bad,Tyre wearout and Engine Failure
19305,1012,-40,52,Bad,High Pressure and High Vibration
18628,2620,103,25,Bad,Tyre wearout and Engine Failure
19571,4782,87,48,Bad,High Pressure and High Vibration
7318,937,113,15,Bad,Low pressure
606,1360,72,56,Bad,High Pressure and High Vibration
5581,4462,95,29,Bad,Tyre Bursting
16978,1578,43,83,Bad,High Pressure and High Vibration
13133,3393,9,121,Bad,High Pressure and High Vibration
7211,29,118,46,Bad,Tyre Bursting
4189,1387,-36,74,Bad,High Pressure and High Vibration
10511,2118,97,87,Bad,Your tyre is completely in bad condition
2764,4681,46,18,Bad,Low pressure
11916,3857,-21,58,Bad,High Pressure and High Vibration
19179,2262,61,34,Bad,Tyre wearout and Engine Failure
3917,3703,6,50,Bad,High Pressure and High Vibration
5138,4506,75,92,Bad,High Pressure and High Vibration
2426,305,-3,41,Bad,Tyre Bursting
8729,1399,56,71,Bad,High Pressure and High Vibration
4203,2785,-19,65,Bad,High Pressure and High Vibration
19493,1722,100,76,Bad,Your tyre is completely in bad condition
16212,3783,-15,64,Bad,High Pressure and High Vibration
18759,1953,40,45,Bad,High Pressure and High Vibration
11954,4361,31,116,Bad,High Pressure and High Vibration
2663,1584,75,51,Bad,High Pressure and High Vibration
13089,960,95,72,Bad,RPM and Temperature are high
14400,4940,81,22,Bad,Tyre wearout and Engine Failure
11171,4597,115,55,Bad,Your tyre is completely in bad condition
14484,2305,-12,67,Bad,High Pressure and High Vibration
7626,71,109,128,Bad,Tyre Bursting
3590,944,50,19,Bad,Low pressure
8944,4347,85,45,Bad,High Pressure and High Vibration
18905,8,-25,56,Bad,High pressure
16819,1926,23,26,Bad,Tyre wearout and Engine Failure
6773,2816,-16,113,Bad,High Pressure and High Vibration
4401,901,80,100,Bad,High pressure
18961,2696,-35,90,Bad,High Pressure and High Vibration
7806,3788,88,109,Bad,High Pressure and High Vibration
18024,4837,107,36,Bad,Your tyre is completely in bad condition
19040,346,0,120,Bad,High pressure
2027,3761,8,31,Bad,Low rpm
350,4796,60,84,Bad,High Pressure and High Vibration
10044,703,34,51,Bad,High pressure
16691,2225,-11,54,Bad,High Pressure and High Vibration
14135,4456,-3,109,Bad,High Pressure and High Vibration
6195,3402,13,34,Bad,High vibration
8866,369,26,94,Bad,High pressure
4079,4606,3,73,Bad,High Pressure and High Vibration
17212,3830,84,106,Bad,High Pressure and High Vibration
1932,2290,92,29,Bad,Tyre Bursting
8169,3709,99,61,Bad,High Pressure and High Vibration
2855,3601,98,14,Bad,Tyre Bursting
9547,4291,10,119,Bad,High Pressure and High Vibration
8037,2554,55,35,Bad,High vibration
2015,1903,98,114,Bad,High Pressure and High Vibration
6000,4145,18,115,Bad,High Pressure and High Vibration
19490,2875,13,80,Bad,High Pressure and High Vibration
7231,400,95,20,Bad,Low pressure
16703,1384,104,47,Bad,Your tyre is completely in bad condition
19380,1236,119,84,Bad,Your tyre is completely in bad condition
9404,1604,-8,122,Bad,High Pressure and High Vibration
7300,2414,-14,23,Bad,Tyre blowout
4584,3194,-7,72,Bad,High Pressure and High Vibration
1042,2495,119,101,Bad,High Pressure and High Vibration
1340,4546,88,105,Bad,High Pressure and High Vibration
11971,2879,-38,60,Bad,High Pressure and High Vibration
5435,1423,80,128,Bad,High Pressure and High Vibration
13438,4968,43,65,Bad,High Pressure and High Vibration
778,249,-39,51,Bad,Tyre Bursting
19087,3549,-33,28,Bad,Tyre wearout and Engine Failure
4671,708,18,18,Bad,Low pressure
11798,4198,84,30,Bad,Tyre wearout and Engine Failure
13210,1339,-4,17,Bad,Tyre wearout and Engine Failure
3126,514,116,97,Bad,Tyre Bursting
4969,4974,119,69,Bad,High Pressure and High Vibration
2736,4526,11,38,Bad,High Pressure and High Vibration
12916,2696,72,101,Bad,High Pressure and High Vibration
7378,3562,2,30,Bad,High vibration
12469,1409,67,52,Bad,High Pressure and High Vibration
7285,3494,100,46,Bad,High Pressure and High Vibration
13326,2473,10,59,Bad,High Pressure and High Vibration
7238,1879,60,83,Bad,High Pressure and High Vibration
19316,2476,-2,17,Bad,Tyre wearout and Engine Failure
17093,4521,71,100,Bad,High Pressure and High Vibration
7032,1616,88,100,Bad,High Pressure and High Vibration
8728,200,65,76,Bad,High pressure
18856,2430,76,126,Bad,High Pressure and High Vibration
754,4251,3,103,Bad,High Pressure and High Vibration
1840,687,73,115,Bad,High pressure
675,816,21,70,Bad,High pressure
8760,1744,-12,98,Bad,High Pressure and High Vibration
12994,3232,-18,75,Bad,High Pressure and High Vibration
17762,4615,107,72,Bad,Your tyre is completely in bad condition
6415,4590,113,48,Bad,High Pressure and High Vibration
12663,351,-27,113,Bad,High pressure
4130,219,-26,107,Bad,Tyre Bursting
4181,1269,48,27,Bad,Low pressure
17908,1742,-15,50,Bad,High Pressure and High Vibration
16104,830,-12,20,Bad,Tyre blowout
12021,533,71,72,Bad,High pressure
11799,1513,50,54,Bad,High Pressure and High Vibration
5809,444,-8,74,Bad,High pressure
19225,2987,-5,87,Bad,High Pressure and High Vibration
1840,2025,25,70,Bad,High Pressure and High Vibration
6623,2372,-9,98,Bad,High Pressure and High Vibration
8540,4337,109,33,Bad,Tyre Bursting
12101,1883,40,20,Bad,Tyre wearout and Engine Failure
14443,3654,19,15,Bad,Tyre wearout and Engine Failure
11394,2546,4,92,Bad,High Pressure and High Vibration
16989,4434,-15,95,Bad,High Pressure and High Vibration
17940,1230,64,71,Bad,High Pressure and High Vibration
11228,298,25,66,Bad,High pressure
16142,3344,49,64,Bad,High Pressure and High Vibration
17007,97,-19,82,Bad,High pressure
19850,3552,-8,73,Bad,High Pressure and High Vibration
5731,1727,106,73,Bad,High Pressure and High Vibration
7007,2732,35,74,Bad,High Pressure and High Vibration
5530,3825,-35,60,Bad,High Pressure and High Vibration
6908,1297,62,122,Bad,High Pressure and High Vibration
2788,4608,0,83,Bad,High Pressure and High Vibration
3795,4265,-11,75,Bad,High Pressure and High Vibration
10881,4198,105,23,Bad,Tyre wearout and Engine Failure
2448,77,61,110,Bad,High pressure
11697,1351,-33,82,Bad,High Pressure and High Vibration
18854,242,96,81,Bad,RPM and Temperature are high
14832,4712,96,82,Bad,Your tyre is completely in bad condition
3905,1262,19,81,Bad,High Pressure and High Vibration
11594,2718,23,125,Bad,High Pressure and High Vibration
90,1124,-40,57,Bad,High Pressure and High Vibration
10663,3797,55,43,Bad,High Pressure and High Vibration
727,2091,39,26,Bad,Low pressure
1223,3611,-21,105,Bad,High Pressure and High Vibration
11755,1461,96,91,Bad,Your tyre is completely in bad condition
363,2129,-32,128,Bad,High Pressure and High Vibration
15974,1029,8,90,Bad,High Pressure and High Vibration
9123,4073,107,32,Bad,Tyre Bursting
19248,3662,26,116,Bad,High Pressure and High Vibration
17079,950,42,92,Bad,High pressure
10921,2777,-11,98,Bad,High Pressure and High Vibration
16944,343,26,45,Bad,High pressure
4037,2354,-30,124,Bad,High Pressure and High Vibration
4456,2790,117,21,Bad,Tyre Bursting
164,2275,-30,104,Bad,High Pressure and High Vibration
1587,3428,25,105,Bad,High Pressure and High Vibration
15689,1251,24,90,Bad,High Pressure and High Vibration
19075,3113,80,80,Bad,High Pressure and High Vibration
10612,3335,-15,33,Bad,Tyre wearout and Engine Failure
13284,1579,-18,104,Bad,High Pressure and High Vibration
13095,1325,60,24,Bad,Tyre wearout and Engine Failure
18477,4748,81,57,Bad,High Pressure and High Vibration
19022,81,111,108,Bad,RPM and Temperature are high
11554,776,-25,28,Bad,High rpm
18503,2828,55,41,Bad,High Pressure and High Vibration
16053,4634,43,66,Bad,High Pressure and High Vibration
4330,4914,19,37,Bad,High Pressure and High Vibration
11955,4428,-5,42,Bad,High Pressure and High Vibration
17231,4348,-4,128,Bad,High Pressure and High Vibration
9522,2735,42,59,Bad,High Pressure and High Vibration
3115,3478,-15,114,Bad,High Pressure and High Vibration
6323,2024,83,28,Bad,High vibration
4066,3242,0,39,Bad,High Pressure and High Vibration
8104,67,-13,61,Bad,High pressure
14877,256,19,119,Bad,High pressure
13576,4162,86,34,Bad,Tyre wearout and Engine Failure
18359,4797,59,101,Bad,High Pressure and High Vibration
17967,1779,6,56,Bad,High Pressure and High Vibration
226,3354,-4,131,Bad,High Pressure and High Vibration
17952,3078,66,127,Bad,High Pressure and High Vibration
13284,2195,-5,123,Bad,High Pressure and High Vibration
18213,1050,-9,20,Bad,Tyre wearout and Engine Failure
19278,2279,37,48,Bad,High Pressure and High Vibration
13657,1440,67,43,Bad,High Pressure and High Vibration
6160,4828,-23,131,Bad,High Pressure and High Vibration
11765,2491,1,29,Bad,Tyre wearout and Engine Failure
19068,4996,35,90,Bad,High Pressure and High Vibration
7036,4050,64,114,Bad,High Pressure and High Vibration
17278,3902,9,28,Bad,Tyre wearout and Engine Failure
16889,1859,50,69,Bad,High Pressure and High Vibration
8181,2346,37,99,Bad,High Pressure and High Vibration
9828,2202,68,49,Bad,High Pressure and High Vibration
7533,4473,103,28,Bad,Tyre Bursting
19668,4130,-18,129,Bad,High Pressure and High Vibration
16214,4432,37,60,Bad,High Pressure and High Vibration
14020,4149,70,37,Bad,High Pressure and High Vibration
6838,2220,69,118,Bad,High Pressure and High Vibration
15366,3140,40,130,Bad,High Pressure and High Vibration
19112,4460,-14,41,Bad,High Pressure and High Vibration
11315,1875,77,54,Bad,High Pressure and High Vibration
9566,1752,8,17,Bad,Low pressure
19359,3879,55,128,Bad,High Pressure and High Vibration
13241,1509,31,99,Bad,High Pressure and High Vibration
5877,3242,-4,101,Bad,High Pressure and High Vibration
17314,3047,34,69,Bad,High Pressure and High Vibration
7168,3192,-1,74,Bad,High Pressure and High Vibration
3139,2943,47,86,Bad,High Pressure and High Vibration
8812,4593,6,109,Bad,High Pressure and High Vibration
14174,2518,54,69,Bad,High Pressure and High Vibration
17112,3676,-18,14,Bad,Tyre wearout and Engine Failure
13804,4861,114,32,Bad,Tyre wearout and Engine Failure
7026,4972,12,20,Bad,Low pressure
16549,2112,54,127,Bad,High Pressure and High Vibration
5953,4081,-39,93,Bad,High Pressure and High Vibration
1374,870,89,123,Bad,High pressure
5526,3696,-35,29,Bad,High vibration
14744,4184,-13,63,Bad,High Pressure and High Vibration
4546,849,35,106,Bad,High pressure
3570,597,-24,118,Bad,Tyre Bursting
10887,2287,-23,25,Bad,Tyre wearout and Engine Failure
8014,2759,52,95,Bad,High Pressure and High Vibration
3315,1913,86,33,Bad,Low rpm
8873,415,111,113,Bad,Tyre Bursting
848,4597,-16,80,Bad,High Pressure and High Vibration
1196,1150,80,56,Bad,High Pressure and High Vibration
1348,4885,103,37,Bad,High Pressure and High Vibration
12099,4066,7,63,Bad,High Pressure and High Vibration
7630,3676,-2,56,Bad,High Pressure and High Vibration
7132,4637,-2,84,Bad,High Pressure and High Vibration
13462,3983,107,79,Bad,Your tyre is completely in bad condition
19592,1776,34,98,Bad,High Pressure and High Vibration
4948,1280,36,49,Bad,High Pressure and High Vibration
8756,3908,68,73,Bad,High Pressure and High Vibration
1433,1375,75,23,Bad,Low pressure
17596,2005,0,95,Bad,High Pressure and High Vibration
10942,552,49,78,Bad,High pressure
16159,813,17,100,Bad,High pressure
16511,1470,-12,20,Bad,Tyre wearout and Engine Failure
3921,4767,-29,17,Bad,"Due to lower values, tyre is in bad condition"
4285,2658,94,16,Bad,Tyre Bursting
6006,82,11,51,Bad,High pressure
13425,180,34,23,Bad,Low pressure
18226,4082,81,123,Bad,High Pressure and High Vibration
15692,4135,104,41,Bad,Your tyre is completely in bad condition
19293,533,119,95,Bad,RPM and Temperature are high
16493,50,95,54,Bad,RPM and Temperature are high
14427,3029,113,93,Bad,Your tyre is completely in bad condition
9803,4045,13,87,Bad,High Pressure and High Vibration
16678,1557,44,55,Bad,High Pressure and High Vibration
17051,3200,69,22,Bad,Tyre wearout and Engine Failure
7190,3842,-27,21,Bad,Tyre blowout
18389,2807,22,104,Bad,High Pressure and High Vibration
6616,573,20,121,Bad,High pressure
17904,751,-5,22,Bad,Tyre blowout
17095,1776,-39,39,Bad,High Pressure and High Vibration
8272,1117,51,22,Bad,Low pressure
9661,1512,-32,115,Bad,High Pressure and High Vibration
8581,3802,-14,16,Bad,Tyre blowout
11706,2802,118,29,Bad,Tyre wearout and Engine Failure
7573,4922,109,34,Bad,Tyre Bursting
9318,2156,-15,37,Bad,High Pressure and High Vibration
9600,2165,49,56,Bad,High Pressure and High Vibration
10948,4181,-27,91,Bad,High Pressure and High Vibration
8857,10,-37,24,Bad,Tyre blowout
10208,642,89,63,Bad,High pressure
4506,4506,70,86,Bad,High Pressure and High Vibration
11923,424,83,42,Bad,High pressure
4289,942,76,128,Bad,High pressure
1803,4553,104,104,Bad,High Pressure and High Vibration
6661,3021,-10,98,Bad,High Pressure and High Vibration
212,3619,-12,113,Bad,High Pressure and High Vibration
16019,1741,106,87,Bad,Your tyre is completely in bad condition
7858,3828,34,112,Bad,High Pressure and High Vibration
2023,3016,-39,99,Bad,High Pressure and High Vibration
14369,1117,114,82,Bad,Your tyre is completely in bad condition
13833,4568,76,40,Bad,High Pressure and High Vibration
3017,3738,73,27,Bad,Low pressure
4811,613,47,98,Bad,High pressure
7844,4853,82,95,Bad,High Pressure and High Vibration
2652,3340,30,33,Bad,Low rpm
11308,4380,106,98,Bad,Your tyre is completely in bad condition
61,3701,93,41,Bad,High Pressure and High Vibration
10577,825,72,94,Bad,High pressure
13523,1138,117,105,Bad,Your tyre is completely in bad condition
18188,4907,2,17,Bad,Tyre wearout and Engine Failure
16177,4739,64,131,Bad,High Pressure and High Vibration
12043,830,115,62,Bad,RPM and Temperature are high
16630,3571,94,106,Bad,Your tyre is completely in bad condition
6893,3107,80,39,Bad,High Pressure and High Vibration
5422,2458,79,97,Bad,High Pressure and High Vibration
16670,1211,69,17,Bad,Tyre wearout and Engine Failure
5827,1907,111,51,Bad,High Pressure and High Vibration
2389,27,-33,37,Bad,Tyre Bursting
6314,4369,58,86,Bad,High Pressure and High Vibration
6144,56,83,28,Good,All parameters are within optimal ranges
13401,2585,79,47,Bad,High Pressure and High Vibration
6773,3378,75,25,Bad,Low pressure
16100,1595,-38,52,Bad,High Pressure and High Vibration
13189,3537,-1,56,Bad,High Pressure and High Vibration
7824,4116,58,130,Bad,High Pressure and High Vibration
13657,3369,121,101,Bad,Your tyre is completely in bad condition
1882,4662,-28,87,Bad,High Pressure and High Vibration
5809,624,75,15,Bad,Low pressure
11254,1859,-29,25,Bad,Tyre wearout and Engine Failure
1338,4524,4,120,Bad,High Pressure and High Vibration
1115,2627,68,95,Bad,High Pressure and High Vibration
16956,3481,105,48,Bad,Your tyre is completely in bad condition
15826,1430,20,64,Bad,High Pressure and High Vibration
8910,4270,90,51,Bad,High Pressure and High Vibration
13327,3218,107,91,Bad,Your tyre is completely in bad condition
9992,1430,-33,46,Bad,High Pressure and High Vibration
16804,247,69,56,Bad,High pressure
13820,1974,69,116,Bad,High Pressure and High Vibration
17882,91,6,15,Bad,Tyre blowout
14112,4990,-11,128,Bad,High Pressure and High Vibration
14527,1924,-36,64,Bad,High Pressure and High Vibration
18157,1207,16,86,Bad,High Pressure and High Vibration
3885,2093,97,85,Bad,High Pressure and High Vibration
12982,2008,52,16,Bad,Tyre wearout and Engine Failure
18260,2876,-37,40,Bad,High Pressure and High Vibration
2101,3098,22,116,Bad,High Pressure and High Vibration
16542,1804,89,72,Bad,High Pressure and High Vibration
3894,2214,100,84,Bad,High Pressure and High Vibration
7088,89,112,131,Bad,Tyre Bursting
81,3352,-19,51,Bad,High Pressure and High Vibration
9389,4860,-14,38,Bad,High Pressure and High Vibration
17387,145,53,17,Bad,Low pressure
2157,3105,-40,52,Bad,High Pressure and High Vibration
8600,1888,20,16,Bad,Low pressure
2399,4088,6,128,Bad,High Pressure and High Vibration
2360,3598,72,104,Bad,High Pressure and High Vibration
1137,3477,6,32,Bad,Tyre Bursting
15151,890,75,99,Bad,High pressure
8374,3300,38,29,Bad,High vibration
7423,3233,96,87,Bad,High Pressure and High Vibration
3597,2976,34,16,Bad,Low pressure
3293,1611,116,67,Bad,High Pressure and High Vibration
15800,1463,51,108,Bad,High Pressure and High Vibration
17937,3959,1,109,Bad,High Pressure and High Vibration
12599,4,20,97,Bad,High pressure
6192,636,34,112,Bad,High pressure
9472,3499,22,90,Bad,High Pressure and High Vibration
16362,3056,18,108,Bad,High Pressure and High Vibration
18443,91,120,74,Bad,RPM and Temperature are high
13618,3114,120,52,Bad,Your tyre is completely in bad condition
15728,558,70,108,Bad,High pressure
3163,3028,50,47,Bad,High Pressure and High Vibration
6861,2153,105,39,Bad,High Pressure and High Vibration
8912,310,-31,117,Bad,High pressure
14756,1569,116,61,Bad,Your tyre is completely in bad condition
17192,824,121,124,Bad,RPM and Temperature are high
4902,1204,116,70,Bad,High Pressure and High Vibration
14266,3045,-16,51,Bad,High Pressure and High Vibration
19034,4677,64,23,Bad,Tyre wearout and Engine Failure
18357,130,41,111,Bad,High pressure
17345,3247,21,50,Bad,High Pressure and High Vibration
13784,4436,-1,125,Bad,High Pressure and High Vibration
7450,2432,50,18,Bad,Low pressure
3290,894,-28,115,Bad,Tyre Bursting
7703,4988,83,108,Bad,High Pressure and High Vibration
11156,688,82,36,Bad,High pressure
14372,315,42,88,Bad,High pressure
10387,1852,35,80,Bad,High Pressure and High Vibration
8471,418,-17,107,Bad,High pressure
13353,4722,72,14,Bad,Tyre wearout and Engine Failure
4848,2271,102,20,Bad,Tyre Bursting
18169,2185,59,124,Bad,High Pressure and High Vibration
3666,3457,0,53,Bad,High Pressure and High Vibration
19965,2625,64,25,Bad,Tyre wearout and Engine Failure
17880,716,34,41,Bad,High pressure
7529,2977,76,65,Bad,High Pressure and High Vibration
14368,4494,39,26,Bad,Tyre wearout and Engine Failure
6778,4349,-29,63,Bad,High Pressure and High Vibration
3795,4868,83,45,Bad,High Pressure and High Vibration
12749,4977,81,46,Bad,High Pressure and High Vibration
8099,249,31,37,Bad,High pressure
15802,2832,-2,101,Bad,High Pressure and High Vibration
10878,2704,7,93,Bad,High Pressure and High Vibration
8028,1223,33,99,Bad,High Pressure and High Vibration
7867,4262,-23,30,Bad,High vibration
841,2997,112,127,Bad,High Pressure and High Vibration
14546,1613,28,71,Bad,High Pressure and High Vibration
8433,766,117,97,Bad,Tyre Bursting
2041,708,111,125,Bad,Tyre Bursting
8172,4467,61,48,Bad,High Pressure and High Vibration
3069,927,-28,32,Bad,Tyre Bursting
8684,984,29,126,Bad,High pressure
4309,2030,84,44,Bad,High Pressure and High Vibration
13691,4142,-39,86,Bad,High Pressure and High Vibration
900,3736,-25,77,Bad,High Pressure and High Vibration
3196,4118,103,26,Bad,Tyre Bursting
2976,3830,103,59,Bad,High Pressure and High Vibration
19135,1673,29,92,Bad,High Pressure and High Vibration
8365,2540,51,23,Bad,Low pressure
11544,2202,121,111,Bad,Your tyre is completely in bad condition
9773,1608,-31,86,Bad,High Pressure and High Vibration
12071,4231,10,21,Bad,Tyre wearout and Engine Failure
15510,3274,60,40,Bad,High Pressure and High Vibration
9064,3298,20,93,Bad,High Pressure and High Vibration
10000,4223,120,52,Bad,High Pressure and High Vibration
12333,1172,2,44,Bad,High Pressure and High Vibration
10358,2181,-36,67,Bad,High Pressure and High Vibration
19040,189,66,34,Bad,High rpm
13557,4242,100,99,Bad,Your tyre is completely in bad condition
5657,4347,89,102,Bad,High Pressure and High Vibration
4869,4047,84,25,Bad,Low pressure
1816,97,-15,83,Bad,Tyre Bursting
7893,588,107,62,Bad,Tyre Bursting
16752,1028,-11,87,Bad,High Pressure and High Vibration
4443,4178,4,63,Bad,High Pressure and High Vibration
16804,1219,-12,54,Bad,High Pressure and High Vibration
11769,4446,49,98,Bad,High Pressure and High Vibration
17242,3788,49,55,Bad,High Pressure and High Vibration
6293,2643,47,42,Bad,High Pressure and High Vibration
12563,1132,-31,116,Bad,High Pressure and High Vibration
575,4578,101,118,Bad,High Pressure and High Vibration
9099,1235,86,26,Bad,Low pressure
12032,3020,-4,123,Bad,High Pressure and High Vibration
15567,3962,-39,108,Bad,High Pressure and High Vibration
15767,201,115,42,Bad,RPM and Temperature are high
4518,2823,18,56,Bad,High Pressure and High Vibration
16506,2974,-28,121,Bad,High Pressure and High Vibration
16206,2521,57,129,Bad,High Pressure and High Vibration
15860,571,-30,117,Bad,High pressure
16092,4444,109,131,Bad,Your tyre is completely in bad condition
7453,3111,21,50,Bad,High Pressure and High Vibration
5302,2520,-30,130,Bad,High Pressure and High Vibration
15121,4766,46,73,Bad,High Pressure and High Vibration
5682,1751,11,72,Bad,High Pressure and High Vibration
14425,3307,35,33,Bad,Tyre wearout and Engine Failure
17690,4168,-37,28,Bad,Tyre wearout and Engine Failure
6431,1487,110,49,Bad,High Pressure and High Vibration
5540,3076,88,47,Bad,High Pressure and High Vibration
8772,3751,22,21,Bad,Low pressure
3774,4405,10,25,Bad,Low pressure
4443,2192,38,40,Bad,High Pressure and High Vibration
6232,3414,-22,89,Bad,High Pressure and High Vibration
4413,4754,97,21,Bad,Tyre Bursting
4134,3987,22,121,Bad,High Pressure and High Vibration
5064,4127,20,20,Bad,Low pressure
18697,59,109,31,Bad,RPM and Temperature are high
7534,1285,24,86,Bad,High Pressure and High Vibration
13128,723,49,23,Bad,Low pressure
